S21 dB20 (K_in=0.325) X,S21 dB20 (K_in=0.325) Y
9500000000,5.505325675453808
9510000000,5.363636735569663
9520000000,5.222421046038329
9530000000,5.081676400947929
9540000000,4.941400588401804
9550000000,4.801591391311096
9560000000,4.662246588061683
9570000000,4.523363953361931
9580000000,4.384941258758959
9590000000,4.246976273456283
9600000000,4.109466764834377
9610000000,3.972410499110585
9620000000,3.83580524185108
9630000000,3.699648758605402
9640000000,3.563938815390526
9650000000,3.4286731792049
9660000000,3.293849618494606
9670000000,3.159465903682775
9680000000,3.025519807627655
9690000000,2.892009105849707
9700000000,2.758931577281569
9710000000,2.626285004373386
9720000000,2.494067173576469
9730000000,2.362275875772448
9740000000,2.230908906495892
9750000000,2.099964066351685
9760000000,1.969439161275696
9770000000,1.839332002911927
9780000000,1.709640408757509
9790000000,1.580362202684802
9800000000,1.451495214931903
9810000000,1.323037282516387
9820000000,1.194986249451155
9830000000,1.067339966957444
9840000000,0.9400962936806665
9850000000,0.8132530958864548
9860000000,0.6868082477360431
9870000000,0.560759631356241
9880000000,0.435105137097927
9890000000,0.3098426636981563
9900000000,0.1849701184179836
9910000000,0.06048541719975421
9920000000,-0.0636135151574526
9930000000,-0.1873287449223492
9940000000,-0.3106623292100837
9950000000,-0.433616315968376
9960000000,-0.5561927437717591
9970000000,-0.6783936417633979
9980000000,-0.8002210295630816
9990000000,-0.9216769170998268
10000000000,-1.042763304597927
