S11 dB20 (Ccomp=3e-14) X,S11 dB20 (Ccomp=3e-14) Y
5150000000,-6.392043594838224
5160000000,-6.444450160750979
5170000000,-6.497596086685927
5180000000,-6.551493193082024
5190000000,-6.606153465716663
5200000000,-6.661589055565703
5210000000,-6.717812278453204
5220000000,-6.774835614469156
5230000000,-6.832671707141205
5240000000,-6.891333362325507
5250000000,-6.950833546805882
5260000000,-7.011185386568402
5270000000,-7.072402164717511
5280000000,-7.13449731901301
5290000000,-7.197484438989398
5300000000,-7.261377262612402
5310000000,-7.326189672446822
5320000000,-7.391935691280497
5330000000,-7.458629477159665
5340000000,-7.526285317786067
5350000000,-7.594917624215533
5360000000,-7.664540923794823
5370000000,-7.735169852275798
5380000000,-7.806819145023023
5390000000,-7.879503627247157
5400000000,-7.953238203163531
5410000000,-8.028037843988484
5420000000,-8.103917574672003
5430000000,-8.180892459243749
5440000000,-8.258977584661602
5450000000,-8.338188043017546
5460000000,-8.418538911966385
5470000000,-8.500045233213314
5480000000,-8.582721988886426
5490000000,-8.666584075618031
5500000000,-8.751646276119965
5510000000,-8.837923228047027
5520000000,-8.925429389900412
5530000000,-9.014179003722354
5540000000,-9.104186054302335
5550000000,-9.195464224592317
5560000000,-9.28802684701231
5570000000,-9.381886850297716
5580000000,-9.477056701502775
5590000000,-9.573548342769893
5600000000,-9.671373122425896
5610000000,-9.770541719925719
5620000000,-9.871064064166353
5630000000,-9.972949244615684
5640000000,-10.07620541470175
5650000000,-10.18083968682753
5660000000,-10.28685801839353
5670000000,-10.39426508811765
5680000000,-10.50306416192122
5690000000,-10.6132569476247
5700000000,-10.72484343763012
5710000000,-10.83782173875088
5720000000,-10.95218788829124
5730000000,-11.06793565547538
5740000000,-11.18505632727512
5750000000,-11.30353847766934
5760000000,-11.42336771940183
5770000000,-11.54452643722926
5780000000,-11.66699350177201
5790000000,-11.79074396304545
5800000000,-11.91574872288565
5810000000,-12.04197418553778
5820000000,-12.16938188587338
5830000000,-12.29792809485318
5840000000,-12.42756340214906
5850000000,-12.55823227612856
5860000000,-12.68987260182926
5870000000,-12.82241519802193
5880000000,-12.95578331509196
5890000000,-13.08989211613902
5900000000,-13.22464814458388
5910000000,-13.35994878251398
5920000000,-13.49568170517819
5930000000,-13.63172433830738
5940000000,-13.76794332642288
5950000000,-13.90419402189503
5960000000,-14.04032000631348
5970000000,-14.17615265759707
5980000000,-14.31151077829911
5990000000,-14.44620030256771
6000000000,-14.58001410125069
6010000000,-14.71273190650654
6020000000,-14.8441203789336
6030000000,-14.97393334152036
6040000000,-15.10191220543565
6050000000,-15.22778661271356
6060000000,-15.3512753199727
6070000000,-15.47208734529711
6080000000,-15.58992339707512
6090000000,-15.70447759877972
6100000000,-15.81543951729029
6110000000,-15.92249649433001
6120000000,-16.02533627099965
6130000000,-16.12364988440703
6140000000,-16.21713480336621
6150000000,-16.30549825743649
6160000000,-16.38846070104815
6170000000,-16.46575934247403
6180000000,-16.53715165720191
6190000000,-16.60241879737367
6200000000,-16.66136880429033
6210000000,-16.71383953029346
6220000000,-16.75970117986977
6230000000,-16.79885838807405
6240000000,-16.83125176684462
6250000000,-16.85685886618861
6260000000,-16.87569451685733
6270000000,-16.88781054245023
6280000000,-16.89329485125118
6290000000,-16.89226993959797
6300000000,-16.88489085835642
6310000000,-16.87134271070586
6320000000,-16.85183776244323
6330000000,-16.82661225435217
6340000000,-16.79592301029667
6350000000,-16.76004393418195
6360000000,-16.71926248466207
6370000000,-16.67387620874562
6380000000,-16.6241894053478
6390000000,-16.57050997814082
6400000000,-16.51314652428314
6410000000,-16.45240569315938
6420000000,-16.38858983694133
6430000000,-16.32199496385664
6440000000,-16.25290899526374
6450000000,-16.18161031947922
6460000000,-16.10836662884741
6470000000,-16.03343402150304
