freq	dB(S(2,1))
4.18010000000000040E10	-4.91434997008537260E1
4.19010000000000020E10	-4.92082113272396170E1
4.20010000000000080E10	-4.92727567010777800E1
4.21010000000000060E10	-4.93371367018939380E1
4.22010000000000040E10	-4.94013522020717750E1
4.23010000000000020E10	-4.94654040669315530E1
4.24010000000000000E10	-4.95292931548076430E1
4.25010000000000070E10	-4.95930203171249850E1
4.26010000000000040E10	-4.96565863984745270E1
4.27010000000000110E10	-4.97199922366875760E1
4.28010000000000000E10	-4.97832386629090880E1
4.29010000000000070E10	-4.98463265016701040E1
4.30010000000000050E10	-4.99092565709590020E1
4.31010000000000030E10	-4.99720296822919430E1
4.32010000000000090E10	-5.00346466407822370E1
4.33009999999999980E10	-5.00971082452088550E1
4.34010000000000050E10	-5.01594152880839590E1
4.35010000000000030E10	-5.02215685557195710E1
4.36010000000000100E10	-5.02835688282932570E1
4.37010000000000080E10	-5.03454168799130920E1
4.38010000000000050E10	-5.04071134786815290E1
4.39010000000000030E10	-5.04686593867586540E1
4.40010000000000010E10	-5.05300553604244400E1
4.41010000000000080E10	-5.05913021501402230E1
4.42010000000000060E10	-5.06524005006093870E1
4.43010000000000040E10	-5.07133511508372070E1
4.44010000000000020E10	-5.07741548341899570E1
4.45010000000000080E10	-5.08348122784531940E1
4.46010000000000060E10	-5.08953242058893270E1
4.47010000000000040E10	-5.09556913332943750E1
4.48010000000000020E10	-5.10159143720540430E1
4.49010000000000000E10	-5.10759940281990500E1
4.50010000000000070E10	-5.11359310024597670E1
4.51010000000000040E10	-5.11957259903200510E1
4.52010000000000110E10	-5.12553796820705720E1
4.53010000000000000E10	-5.13148927628612310E1
4.54010000000000070E10	-5.13742659127531190E1
4.55010000000000050E10	-5.14334998067696510E1
4.56010000000000030E10	-5.14925951149471750E1
4.57010000000000090E10	-5.15515525023848210E1
4.58009999999999980E10	-5.16103726292938080E1
4.59010000000000050E10	-5.16690561510461070E1
4.60010000000000030E10	-5.17276037182224970E1
4.61010000000000100E10	-5.17860159766599450E1
4.62010000000000080E10	-5.18442935674985070E1
4.63010000000000050E10	-5.19024371272275880E1
4.64010000000000030E10	-5.19604472877316060E1
4.65010000000000010E10	-5.20183246763351370E1
4.66010000000000080E10	-5.20760699158474430E1
